episode,avg_survival,n1_weight_mag,n2_weight_mag
50000,34.25,5.2870,6.0076
100000,34.94,5.2845,5.8978
150000,34.76,5.2735,5.8808
200000,33.75,5.2610,5.8671
250000,35.28,5.2497,5.8545
300000,32.95,5.2399,5.8430
350000,34.58,5.2319,5.8328
400000,35.43,5.2251,5.8238
450000,35.27,5.2197,5.8157
500000,33.50,5.2149,5.8087
550000,34.24,5.2112,5.8025
600000,35.10,5.2080,5.7969
650000,33.55,5.2049,5.7921
700000,33.86,5.2019,5.7877
750000,36.14,5.1982,5.7838
800000,33.45,5.1944,5.7802
850000,34.59,5.1902,5.7767
900000,34.88,5.1855,5.7733
950000,34.08,5.1807,5.7699
1000000,33.84,5.1759,5.7666
1050000,35.12,5.1712,5.7635
1100000,33.10,5.1659,5.7603
1150000,33.92,5.1604,5.7574
1200000,34.35,5.1549,5.7544
1250000,34.02,5.1497,5.7513
1300000,36.86,5.1446,5.7484
1350000,35.10,5.1397,5.7457
1400000,34.35,5.1348,5.7428
1450000,34.79,5.1300,5.7399
1500000,36.29,5.1252,5.7370
1550000,34.01,5.1208,5.7340
1600000,33.11,5.1164,5.7311
1650000,33.57,5.1122,5.7283
1700000,34.73,5.1084,5.7255
1750000,33.04,5.1047,5.7228
1800000,34.47,5.1015,5.7201
1850000,35.20,5.0986,5.7176
1900000,34.78,5.0960,5.7151
1950000,35.81,5.0936,5.7127
2000000,35.82,5.0915,5.7104
2050000,35.68,5.0897,5.7081
2100000,35.42,5.0881,5.7059
2150000,36.48,5.0867,5.7039
2200000,33.78,5.0856,5.7017
2250000,37.02,5.0844,5.6998
2300000,35.41,5.0834,5.6979
2350000,34.97,5.0826,5.6960
2400000,34.87,5.0820,5.6941
2450000,34.69,5.0815,5.6924
2500000,35.26,5.0809,5.6907
2550000,34.95,5.0805,5.6890
2600000,33.74,5.0801,5.6874
2650000,34.93,5.0799,5.6859
2700000,34.22,5.0796,5.6844
2750000,34.45,5.0796,5.6829
2800000,33.17,5.0795,5.6814
2850000,32.48,5.0796,5.6799
2900000,35.17,5.0797,5.6784
2950000,35.27,5.0798,5.6772
3000000,35.32,5.0800,5.6758
3050000,34.16,5.0800,5.6745
3100000,34.75,5.0802,5.6733
3150000,34.02,5.0802,5.6722
3200000,34.21,5.0802,5.6712
3250000,33.84,5.0801,5.6701
3300000,33.47,5.0802,5.6691
3350000,35.96,5.0802,5.6681
3400000,33.71,5.0801,5.6672
3450000,35.39,5.0800,5.6663
3500000,34.81,5.0799,5.6655
3550000,34.29,5.0798,5.6646
3600000,36.05,5.0797,5.6638
3650000,34.16,5.0795,5.6630
3700000,33.53,5.0793,5.6623
3750000,34.47,5.0791,5.6616
3800000,35.04,5.0790,5.6609
3850000,34.97,5.0788,5.6602
3900000,33.77,5.0786,5.6595
3950000,35.73,5.0785,5.6589
4000000,33.71,5.0783,5.6583
4050000,33.53,5.0780,5.6577
4100000,36.36,5.0779,5.6571
4150000,34.89,5.0778,5.6565
4200000,34.39,5.0776,5.6560
4250000,34.77,5.0774,5.6554
4300000,33.91,5.0771,5.6549
4350000,34.15,5.0768,5.6544
4400000,33.33,5.0766,5.6539
4450000,35.04,5.0763,5.6535
4500000,33.87,5.0761,5.6530
4550000,35.32,5.0759,5.6526
4600000,34.13,5.0756,5.6521
4650000,34.07,5.0754,5.6517
4700000,34.12,5.0751,5.6513
4750000,33.21,5.0749,5.6509
4800000,34.36,5.0746,5.6505
4850000,34.30,5.0744,5.6501
4900000,37.42,5.0742,5.6497
4950000,34.40,5.0739,5.6494
5000000,34.44,5.0736,5.6490
5050000,34.64,5.0733,5.6487
5100000,33.19,5.0731,5.6484
5150000,35.38,5.0728,5.6480
5200000,33.71,5.0725,5.6477
5250000,33.93,5.0722,5.6474
5300000,33.43,5.0719,5.6471
5350000,34.69,5.0717,5.6467
5400000,34.01,5.0714,5.6464
5450000,33.74,5.0711,5.6462
5500000,33.67,5.0708,5.6459
5550000,34.54,5.0705,5.6456
5600000,35.51,5.0703,5.6453
5650000,34.79,5.0700,5.6450
5700000,34.99,5.0698,5.6447
5750000,33.28,5.0695,5.6445
5800000,34.31,5.0692,5.6442
5850000,35.08,5.0689,5.6439
5900000,35.09,5.0686,5.6437
5950000,33.48,5.0684,5.6434
6000000,34.23,5.0681,5.6431
6050000,33.15,5.0678,5.6429
6100000,33.51,5.0675,5.6426
6150000,34.84,5.0672,5.6424
6200000,34.64,5.0670,5.6421
6250000,35.18,5.0667,5.6419
6300000,34.08,5.0665,5.6416
6350000,35.06,5.0662,5.6414
6400000,35.32,5.0659,5.6411
6450000,34.66,5.0657,5.6409
6500000,33.10,5.0654,5.6407
6550000,34.32,5.0652,5.6404
6600000,34.80,5.0649,5.6402
6650000,34.04,5.0647,5.6399
6700000,34.02,5.0644,5.6397
6750000,35.13,5.0642,5.6395
6800000,34.36,5.0639,5.6392
6850000,34.32,5.0637,5.6390
6900000,32.90,5.0634,5.6388
6950000,34.31,5.0632,5.6385
7000000,32.85,5.0630,5.6383
7050000,35.90,5.0627,5.6381
7100000,37.17,5.0625,5.6378
7150000,31.90,5.0623,5.6376
7200000,34.99,5.0621,5.6373
7250000,33.50,5.0619,5.6371
7300000,35.17,5.0617,5.6369
7350000,33.28,5.0615,5.6367
7400000,35.35,5.0614,5.6365
7450000,34.03,5.0612,5.6363
7500000,31.95,5.0611,5.6361
7550000,33.78,5.0609,5.6359
7600000,33.59,5.0608,5.6356
7650000,32.60,5.0607,5.6354
7700000,33.52,5.0605,5.6352
7750000,33.38,5.0604,5.6351
7800000,33.84,5.0602,5.6349
7850000,32.17,5.0601,5.6347
7900000,33.95,5.0600,5.6345
7950000,35.76,5.0599,5.6343
8000000,35.01,5.0598,5.6341
8050000,36.11,5.0597,5.6340
8100000,35.04,5.0595,5.6338
8150000,33.90,5.0594,5.6336
8200000,35.74,5.0593,5.6334
8250000,33.42,5.0591,5.6333
8300000,34.29,5.0589,5.6331
8350000,36.23,5.0587,5.6329
8400000,34.64,5.0585,5.6327
8450000,36.44,5.0583,5.6324
8500000,34.59,5.0580,5.6322
8550000,33.83,5.0578,5.6319
8600000,34.60,5.0575,5.6315
8650000,32.57,5.0572,5.6312
8700000,35.03,5.0570,5.6309
8750000,33.04,5.0566,5.6306
8800000,34.12,5.0561,5.6302
8850000,34.81,5.0553,5.6297
8900000,35.43,5.0537,5.6292
8950000,35.49,5.0515,5.6285
9000000,33.64,5.0496,5.6276
9050000,38.41,5.0487,5.6264
9100000,34.79,5.0489,5.6250
9150000,35.10,5.0505,5.6235
9200000,35.09,5.0530,5.6220
9250000,35.00,5.0569,5.6205
9300000,33.35,5.0626,5.6188
9350000,34.36,5.0720,5.6163
9400000,32.98,5.0797,5.6129
9450000,32.73,5.0793,5.6104
9500000,33.96,5.0800,5.6087
9550000,34.80,5.0813,5.6073
9600000,33.46,5.0831,5.6059
9650000,35.14,5.0850,5.6045
9700000,33.31,5.0871,5.6032
9750000,33.99,5.0894,5.6019
9800000,32.89,5.0916,5.6007
9850000,35.54,5.0940,5.5994
9900000,33.79,5.0964,5.5982
9950000,33.76,5.0988,5.5970
10000000,34.73,5.1012,5.5958
10050000,32.45,5.1038,5.5946
10100000,35.57,5.1064,5.5934
10150000,33.53,5.1089,5.5923
10200000,35.27,5.1115,5.5911
10250000,33.33,5.1142,5.5900
10300000,34.79,5.1168,5.5889
10350000,35.06,5.1195,5.5878
10400000,34.03,5.1223,5.5867
10450000,34.86,5.1250,5.5856
10500000,34.08,5.1278,5.5845
10550000,33.76,5.1308,5.5835
10600000,35.13,5.1336,5.5824
10650000,34.12,5.1365,5.5814
10700000,33.18,5.1394,5.5804
10750000,36.22,5.1422,5.5795
10800000,33.82,5.1450,5.5786
10850000,35.42,5.1478,5.5777
10900000,33.47,5.1505,5.5768
10950000,34.48,5.1531,5.5759
11000000,33.08,5.1557,5.5751
11050000,33.58,5.1581,5.5744
11100000,33.24,5.1605,5.5736
11150000,34.18,5.1628,5.5729
11200000,33.39,5.1650,5.5722
11250000,33.32,5.1670,5.5715
11300000,34.59,5.1690,5.5709
11350000,33.09,5.1709,5.5702
11400000,34.44,5.1727,5.5696
11450000,35.42,5.1743,5.5690
11500000,33.93,5.1759,5.5684
11550000,35.77,5.1774,5.5679
11600000,33.14,5.1788,5.5673
11650000,34.61,5.1802,5.5668
11700000,34.39,5.1814,5.5663
11750000,34.34,5.1826,5.5657
11800000,34.57,5.1837,5.5653
11850000,34.68,5.1848,5.5648
11900000,32.72,5.1858,5.5643
11950000,34.44,5.1867,5.5638
12000000,33.40,5.1876,5.5634
12050000,35.66,5.1884,5.5629
12100000,35.53,5.1892,5.5625
12150000,34.26,5.1899,5.5621
12200000,33.04,5.1906,5.5617
12250000,34.52,5.1912,5.5613
12300000,34.65,5.1918,5.5609
12350000,35.10,5.1924,5.5605
12400000,34.64,5.1929,5.5601
12450000,34.56,5.1933,5.5597
12500000,32.90,5.1938,5.5594
12550000,35.12,5.1942,5.5590
12600000,34.48,5.1946,5.5587
12650000,34.99,5.1950,5.5583
12700000,34.11,5.1954,5.5580
12750000,33.26,5.1957,5.5577
12800000,33.46,5.1961,5.5573
12850000,34.29,5.1964,5.5570
12900000,34.58,5.1967,5.5567
12950000,32.98,5.1970,5.5564
13000000,33.83,5.1974,5.5561
13050000,35.03,5.1976,5.5558
13100000,34.61,5.1980,5.5555
13150000,34.53,5.1983,5.5553
13200000,34.76,5.1986,5.5550
13250000,33.73,5.1989,5.5547
13300000,34.05,5.1992,5.5544
13350000,33.50,5.1995,5.5542
13400000,32.51,5.1999,5.5539
13450000,34.52,5.2002,5.5536
13500000,34.03,5.2005,5.5534
13550000,35.33,5.2008,5.5532
13600000,35.95,5.2012,5.5529
13650000,34.48,5.2015,5.5527
13700000,34.65,5.2018,5.5524
13750000,35.21,5.2022,5.5522
13800000,34.76,5.2025,5.5519
13850000,34.53,5.2028,5.5517
13900000,34.47,5.2032,5.5515
13950000,34.63,5.2036,5.5513
14000000,33.66,5.2039,5.5510
14050000,32.85,5.2042,5.5508
14100000,34.00,5.2046,5.5506
14150000,33.57,5.2050,5.5504
14200000,34.02,5.2054,5.5502
14250000,35.11,5.2057,5.5500
14300000,34.45,5.2061,5.5498
14350000,33.76,5.2065,5.5496
14400000,35.16,5.2069,5.5494
14450000,34.42,5.2073,5.5492
14500000,34.47,5.2076,5.5490
14550000,33.53,5.2080,5.5488
14600000,33.53,5.2084,5.5486
14650000,32.89,5.2088,5.5484
14700000,34.88,5.2092,5.5482
14750000,33.72,5.2096,5.5480
14800000,35.03,5.2100,5.5478
14850000,35.10,5.2103,5.5476
14900000,35.73,5.2107,5.5474
14950000,33.78,5.2111,5.5473
15000000,34.05,5.2115,5.5471
15050000,34.30,5.2119,5.5469
15100000,32.29,5.2122,5.5467
15150000,35.08,5.2126,5.5466
15200000,33.91,5.2130,5.5464
15250000,34.48,5.2133,5.5462
15300000,34.47,5.2137,5.5461
15350000,33.75,5.2140,5.5459
15400000,34.23,5.2144,5.5457
15450000,35.02,5.2147,5.5456
15500000,33.30,5.2151,5.5454
15550000,33.55,5.2154,5.5453
15600000,32.49,5.2157,5.5451
15650000,33.61,5.2161,5.5449
15700000,34.86,5.2164,5.5448
15750000,33.54,5.2167,5.5446
15800000,34.93,5.2171,5.5445
15850000,33.44,5.2174,5.5443
15900000,34.02,5.2177,5.5442
15950000,33.87,5.2180,5.5440
16000000,33.13,5.2184,5.5439
16050000,33.73,5.2187,5.5437
16100000,32.84,5.2190,5.5436
16150000,34.03,5.2193,5.5435
16200000,33.77,5.2195,5.5433
16250000,33.83,5.2198,5.5432
16300000,34.92,5.2201,5.5430
16350000,32.59,5.2204,5.5429
16400000,35.69,5.2207,5.5428
16450000,33.17,5.2209,5.5426
16500000,35.19,5.2212,5.5425
16550000,34.01,5.2215,5.5423
16600000,34.78,5.2217,5.5422
16650000,33.60,5.2220,5.5421
16700000,32.65,5.2222,5.5419
16750000,33.16,5.2224,5.5418
16800000,33.31,5.2227,5.5417
16850000,37.49,5.2229,5.5415
16900000,35.41,5.2231,5.5414
16950000,35.87,5.2233,5.5413
17000000,35.16,5.2235,5.5411
17050000,34.14,5.2237,5.5410
17100000,34.32,5.2239,5.5409
17150000,33.12,5.2241,5.5407
17200000,34.91,5.2243,5.5406
17250000,33.11,5.2245,5.5405
17300000,33.91,5.2246,5.5403
17350000,32.80,5.2248,5.5402
17400000,33.35,5.2250,5.5401
17450000,32.37,5.2252,5.5399
17500000,32.99,5.2253,5.5398
17550000,35.00,5.2255,5.5397
17600000,34.23,5.2257,5.5395
17650000,35.03,5.2258,5.5394
17700000,33.07,5.2260,5.5393
17750000,32.77,5.2261,5.5391
17800000,32.73,5.2263,5.5390
17850000,33.73,5.2264,5.5389
17900000,34.51,5.2265,5.5387
17950000,34.70,5.2267,5.5386
18000000,33.92,5.2268,5.5384
18050000,34.44,5.2269,5.5383
18100000,34.93,5.2270,5.5382
18150000,35.75,5.2272,5.5380
18200000,34.44,5.2273,5.5379
18250000,35.08,5.2274,5.5378
18300000,33.79,5.2276,5.5376
18350000,35.36,5.2277,5.5375
