generation,avg_survival,n1_weight_mag,n2_weight_mag
1,34,5.8238,7.3389
2,33,5.7680,7.3107
3,34,5.7470,7.2933
4,34,5.7238,7.2823
5,34,5.7157,7.2724
6,34,5.6661,7.2535
7,34,5.8499,7.3852
8,34,5.8398,7.3522
9,34,5.8188,7.3230
10,34,5.8039,7.2911
11,34,5.7957,7.2739
12,34,5.9245,7.4168
13,34,5.8852,7.3947
14,34,5.8570,7.3844
15,34,5.8400,7.3764
16,33,5.8304,7.3699
17,34,5.7492,7.4391
18,34,5.7697,7.4045
19,34,5.7774,7.3857
20,34,5.7829,7.3739
21,34,5.7861,7.3657
22,34,5.8087,7.3253
23,34,5.7903,7.3145
24,34,5.7817,7.3076
25,34,5.7774,7.3016
26,34,5.7759,7.2960
27,34,5.7727,7.2909
28,34,5.8350,7.2901
29,34,5.8105,7.2757
30,34,5.7883,7.2685
31,34,5.7715,7.2622
32,34,5.7613,7.2550
33,34,5.8711,7.3003
34,34,5.9170,7.2741
35,34,5.9086,7.2525
36,34,5.9047,7.2401
37,34,5.9049,7.2329
38,34,5.6099,7.3629
39,34,5.6020,7.3209
40,34,5.5743,7.3123
41,33,5.5510,7.3084
42,34,5.5647,7.2962
43,34,5.7358,7.3703
44,34,5.7172,7.3577
45,34,5.7036,7.3493
46,34,5.6907,7.3430
47,34,5.6799,7.3382
48,34,5.7948,7.2372
49,34,5.7471,7.2179
50,34,5.7119,7.2042
51,34,5.6825,7.1949
52,34,5.6622,7.1868
53,34,5.6463,7.1811
54,34,5.8246,7.3282
55,34,5.7783,7.3232
56,34,5.7441,7.3190
57,34,5.7203,7.3157
58,34,5.7034,7.3127
59,34,5.6904,7.3100
60,34,5.6805,7.3076
61,34,5.6723,7.3054
62,34,5.6662,7.3033
63,34,5.6600,7.3013
64,34,5.6547,7.2996
65,34,5.9242,7.0812
66,33,5.9173,7.0455
67,34,5.9033,7.0363
68,34,5.9048,7.0278
69,33,5.9059,7.0233
70,35,5.5310,7.3058
