generation,avg_survival,n1_weight_mag,n2_weight_mag
1,25,0.0000,0.0000
2,20,0.0000,0.0000
3,18,0.0000,0.0000
4,18,0.0000,0.0000
5,18,0.0000,0.0000
6,18,0.0000,0.0000
7,18,0.0000,0.0000
8,19,0.0000,0.0000
9,19,0.0000,0.0000
10,18,0.0000,0.0000
11,18,0.0000,0.0000
12,19,0.0000,0.0000
13,19,0.0000,0.0000
14,18,0.0000,0.0000
15,18,0.0000,0.0000
16,19,0.0000,0.0000
17,19,0.0000,0.0000
18,19,0.0000,0.0000
19,18,0.0000,0.0000
20,19,0.0000,0.0000
21,19,0.0000,0.0000
22,19,0.0000,0.0000
23,19,0.0000,0.0000
24,19,0.0000,0.0000
25,18,0.0000,0.0000
26,19,0.0000,0.0000
27,18,0.0000,0.0000
28,18,0.0000,0.0000
29,18,0.0000,0.0000
30,19,0.0000,0.0000
31,19,0.0000,0.0000
32,19,0.0000,0.0000
33,19,0.0000,0.0000
34,18,0.0000,0.0000
35,19,0.0000,0.0000
36,19,0.0000,0.0000
37,19,0.0000,0.0000
38,18,0.0000,0.0000
39,19,0.0000,0.0000
40,18,0.0000,0.0000
41,19,0.0000,0.0000
42,19,0.0000,0.0000
43,20,0.0000,0.0000
44,20,0.0000,0.0000
45,20,0.0000,0.0000
46,19,0.0000,0.0000
47,19,0.0000,0.0000
48,19,0.0000,0.0000
49,19,0.0000,0.0000
50,19,0.0000,0.0000
51,19,0.0000,0.0000
52,19,0.0000,0.0000
53,19,0.0000,0.0000
54,21,0.0000,0.0000
55,19,0.0000,0.0000
56,18,0.0000,0.0000
57,19,0.0000,0.0000
58,19,0.0000,0.0000
59,19,0.0000,0.0000
60,19,0.0000,0.0000
61,19,0.0000,0.0000
62,19,0.0000,0.0000
63,18,0.0000,0.0000
64,19,0.0000,0.0000
65,19,0.0000,0.0000
66,19,0.0000,0.0000
67,19,0.0000,0.0000
68,18,0.0000,0.0000
69,19,0.0000,0.0000
70,20,0.0000,0.0000
71,19,0.0000,0.0000
